repo,project,package,version
src,WebApp,Asp.Versioning.Http.Client,
src,WebApp,Aspire.Azure.AI.OpenAI,
src,WebApp,CommunityToolkit.Aspire.OllamaSharp,
src,WebApp,Microsoft.Extensions.ServiceDiscovery.Yarp,
src,WebApp,Microsoft.AspNetCore.Authentication.OpenIdConnect,
src,WebApp,Google.Protobuf,
src,WebApp,Grpc.Net.ClientFactory,
src,WebApp,Grpc.Tools,
src,Identity.API,Duende.IdentityServer.AspNetIdentity,
src,Identity.API,Duende.IdentityServer.EntityFramework,
src,Identity.API,Duende.IdentityServer.Storage,
src,Identity.API,Duende.IdentityServer,
src,Identity.API,Microsoft.AspNetCore.Identity.EntityFrameworkCore,
src,Identity.API,Microsoft.AspNetCore.Identity.UI,
src,Identity.API,Microsoft.EntityFrameworkCore.Tools,
src,Identity.API,Aspire.Npgsql.EntityFrameworkCore.PostgreSQL,
src,Identity.API,Microsoft.Web.LibraryManager.Build,
src,Catalog.API,Asp.Versioning.Http,
src,Catalog.API,Aspire.Npgsql.EntityFrameworkCore.PostgreSQL,
src,Catalog.API,CommunityToolkit.Aspire.OllamaSharp,
src,Catalog.API,Microsoft.EntityFrameworkCore.Tools,
src,Catalog.API,Microsoft.Extensions.ApiDescription.Server,
src,Catalog.API,Aspire.Azure.AI.OpenAI,
src,Catalog.API,Pgvector,
src,Catalog.API,Pgvector.EntityFrameworkCore,
src,Ordering.Domain,MediatR,
src,Ordering.Domain,System.Reflection.TypeExtensions,
src,eShop.AppHost,Aspire.Hosting.RabbitMQ,
src,eShop.AppHost,Aspire.Hosting.Redis,
src,eShop.AppHost,Aspire.Hosting.PostgreSQL,
src,eShop.AppHost,Aspire.Hosting.Azure.CognitiveServices,
src,eShop.AppHost,Aspire.Hosting.Yarp,
src,eShop.AppHost,CommunityToolkit.Aspire.Hosting.Ollama,
src,WebAppComponents,Microsoft.AspNetCore.Components.Web,
src,Ordering.Infrastructure,Npgsql.EntityFrameworkCore.PostgreSQL,
src,OrderProcessor,Aspire.Npgsql,
src,HybridApp,Microsoft.AspNetCore.Components.WebView.Maui,9.0.30
src,HybridApp,Microsoft.Maui.Controls,9.0.30
src,HybridApp,Microsoft.Maui.Controls.Compatibility,9.0.30
src,HybridApp,Microsoft.Extensions.Http,9.0.0
src,HybridApp,Microsoft.Extensions.Logging.Debug,9.0.0
src,Basket.API,Aspire.StackExchange.Redis,
src,Basket.API,Grpc.AspNetCore,
src,IntegrationEventLogEF,Npgsql.EntityFrameworkCore.PostgreSQL,
src,EventBus,Microsoft.Extensions.Options,
src,Ordering.API,Asp.Versioning.Http,
src,Ordering.API,Aspire.Npgsql.EntityFrameworkCore.PostgreSQL,
src,Ordering.API,FluentValidation,
src,Ordering.API,FluentValidation.DependencyInjectionExtensions,
src,Ordering.API,Microsoft.EntityFrameworkCore.Tools,
src,EventBusRabbitMQ,Aspire.RabbitMQ.Client,
src,eShop.ServiceDefaults,Asp.Versioning.Mvc.ApiExplorer,
src,eShop.ServiceDefaults,Microsoft.AspNetCore.OpenApi,
src,eShop.ServiceDefaults,Microsoft.OpenApi,
src,eShop.ServiceDefaults,Scalar.AspNetCore,
src,eShop.ServiceDefaults,Microsoft.AspNetCore.Authentication.JwtBearer,
src,eShop.ServiceDefaults,Microsoft.Extensions.Http.Resilience,
src,eShop.ServiceDefaults,Microsoft.Extensions.ServiceDiscovery,
src,eShop.ServiceDefaults,OpenTelemetry.Exporter.OpenTelemetryProtocol,
src,eShop.ServiceDefaults,OpenTelemetry.Extensions.Hosting,
src,eShop.ServiceDefaults,OpenTelemetry.Instrumentation.AspNetCore,
src,eShop.ServiceDefaults,OpenTelemetry.Instrumentation.GrpcNetClient,
src,eShop.ServiceDefaults,OpenTelemetry.Instrumentation.Http,
src,eShop.ServiceDefaults,OpenTelemetry.Instrumentation.Runtime,
src,ClientApp,Google.Protobuf,3.29.3
src,ClientApp,Grpc.Net.Client,2.67.0
src,ClientApp,Grpc.Tools,2.69.0
src,ClientApp,IdentityModel.OidcClient,6.0.0
src,ClientApp,Microsoft.Maui.Controls,9.0.30
src,ClientApp,Microsoft.Maui.Controls.Compatibility,9.0.30
src,ClientApp,Microsoft.Maui.Controls.Maps,9.0.30
src,ClientApp,Microsoft.Extensions.Logging.Debug,9.0.0
src,ClientApp,CommunityToolkit.Maui,9.1.1
src,ClientApp,IdentityModel,7.0.0
src,ClientApp,CommunityToolkit.Mvvm,8.3.2
src,Webhooks.API,Asp.Versioning.Http,
src,Webhooks.API,Aspire.Npgsql.EntityFrameworkCore.PostgreSQL,
src,Webhooks.API,Microsoft.EntityFrameworkCore.Tools,
src,WebhookClient,Asp.Versioning.Http.Client,
src,WebhookClient,Microsoft.AspNetCore.Authentication.OpenIdConnect,
src,WebhookClient,Microsoft.AspNetCore.Components.QuickGrid,
tests,Ordering.UnitTests,NSubstitute,
tests,Ordering.UnitTests,NSubstitute.Analyzers.CSharp,
tests,Ordering.FunctionalTests,Asp.Versioning.Http.Client,
tests,Ordering.FunctionalTests,Aspire.Hosting.PostgreSQL,
tests,Ordering.FunctionalTests,Microsoft.AspNetCore.Mvc.Testing,
tests,Ordering.FunctionalTests,Microsoft.AspNetCore.TestHost,
tests,Ordering.FunctionalTests,xunit.v3.mtp-v2,
tests,Catalog.FunctionalTests,Asp.Versioning.Http.Client,
tests,Catalog.FunctionalTests,Aspire.Hosting.PostgreSQL,
tests,Catalog.FunctionalTests,Microsoft.AspNetCore.Mvc.Testing,
tests,Catalog.FunctionalTests,Microsoft.AspNetCore.TestHost,
tests,Catalog.FunctionalTests,xunit.v3.mtp-v2,
tests,Basket.UnitTests,Microsoft.AspNetCore.Mvc.Testing,
tests,Basket.UnitTests,Microsoft.Extensions.Identity.Stores,
tests,Basket.UnitTests,NSubstitute,
tests,Basket.UnitTests,NSubstitute.Analyzers.CSharp,
tests,ClientApp.UnitTests,Microsoft.Maui.Controls,9.0.40
tests,ClientApp.UnitTests,Microsoft.Maui.Controls.Compatibility,9.0.40
tests,ClientApp.UnitTests,Microsoft.Maui.Controls.Maps,9.0.40